State,Year,Number_of_students
Johor,2016,253778
Kedah,2016,155015
Kelantan,2016,125484
Melaka,2016,65971
Negeri Sembilan,2016,84733
Pahang,2016,104297
Perak,2016,177260
Perlis,2016,19992
Pulau Pinang,2016,107812
Sabah ,2016,192998
Sarawak,2016,189058
Selangor,2016,367834
Terengganu,2016,98834
W.P. Kuala Lumpur,2016,92805
W.P. Labuan,2016,5888
W.P. Putrajaya,2016,7271
Johor,2017,248755
Kedah,2017,149866
Kelantan,2017,121074
Melaka,2017,64256
Negeri Sembilan,2017,83237
Pahang,2017,101326
Perak,2017,171127
Perlis,2017,19186
Pulau Pinang,2017,104757
Sabah ,2017,192272
Sarawak,2017,188275
Selangor,2017,362182
Terengganu,2017,96629
W.P. Kuala Lumpur,2017,89509
W.P. Labuan,2017,5833
W.P. Putrajaya,2017,7592
Johor,2018,253900
Kedah,2018,152697
Kelantan,2018,125486
Melaka,2018,66201
Negeri Sembilan,2018,86601
Pahang,2018,105565
Pulau Pinang,2018,107462
Perak,2018,175698
Perlis,2018,20403
Selangor,2018,368152
Terengganu,2018,100366
Sabah ,2018,208575
Sarawak,2018,200815
W.P. Kuala Lumpur,2018,89371
W.P. Labuan,2018,6323
W.P. Putrajaya,2018,8003
Johor,2019,249478
Kedah,2019,149154
Kelantan,2019,121602
Melaka,2019,65266
Negeri Sembilan,2019,85271
Pahang,2019,103446
Pulau Pinang,2019,104972
Perak,2019,170342
Perlis,2019,19741
Selangor,2019,367856
Terengganu,2019,98774
Sabah ,2019,208330
Sarawak,2019,198588
W.P. Kuala Lumpur,2019,87862
W.P. Labuan,2019,6372
W.P. Putrajaya,2019,8723
Johor,2020,243866
Kedah,2020,144295
Kelantan,2020,114587
Melaka,2020,63536
Negeri Sembilan,2020,84142
Pahang,2020,100678
Pulau Pinang,2020,101325
Perak,2020,163456
Perlis,2020,19096
Selangor,2020,363542
Terengganu,2020,95415
Sabah ,2020,200606
Sarawak,2020,191787
W.P. Kuala Lumpur,2020,86804
W.P. Labuan,2020,6276
W.P. Putrajaya,2020,9370
Johor,2021,245519
Kedah,2021,145854
Kelantan,2021,115910
Melaka,2021,64248
Negeri Sembilan,2021,85466
Pahang,2021,102902
Pulau Pinang,2021,101987
Perak,2021,164483
Perlis,2021,19541
Selangor,2021,371005
Terengganu,2021,98112
Sabah ,2021,209104
Sarawak,2021,195940
W.P. Kuala Lumpur,2021,87607
W.P. Labuan,2021,6549
W.P. Putrajaya,2021,10464
