State,Year,Number_of_School
Johor,2018,21
Kedah,2018,8
Kelantan,2018,6
Melaka,2018,5
Negeri Sembilan,2018,8
Pahang,2018,5
Perak,2018,12
Perlis,2018,1
Pulau Pinang,2018,8
Sabah ,2018,15
Sarawak,2018,19
Selangor,2018,32
Terengganu,2018,11
W.P. Kuala Lumpur,2018,9
W.P. Labuan,2018,1
W.P. Putrajaya,2018,0
Johor,2019,21
Kedah,2019,8
Kelantan,2019,6
Melaka,2019,4
Negeri Sembilan,2019,9
Pahang,2019,5
Perak,2019,12
Perlis,2019,1
Pulau Pinang,2019,8
Sabah ,2019,15
Sarawak,2019,19
Selangor,2019,35
Terengganu,2019,10
W.P. Kuala Lumpur,2019,9
W.P. Labuan,2019,1
W.P. Putrajaya,2019,0
Johor,2020,22
Kedah,2020,8
Kelantan,2020,6
Melaka,2020,4
Negeri Sembilan,2020,9
Pahang,2020,4
Pulau Pinang,2020,9
Perak,2020,12
Perlis,2020,1
Selangor,2020,35
Terengganu,2020,10
Sabah ,2020,15
Sarawak,2020,19
W.P. Kuala Lumpur,2020,8
W.P. Labuan,2020,1
W.P. Putrajaya,2020,0
Johor,2021,21
Kedah,2021,8
Kelantan,2021,6
Melaka,2021,4
Negeri Sembilan,2021,10
Pahang,2021,4
Pulau Pinang,2021,9
Perak,2021,13
Perlis,2021,1
Selangor,2021,39
Terengganu,2021,9
Sabah ,2021,15
Sarawak,2021,19
W.P. Kuala Lumpur,2021,8
W.P. Labuan,2021,1
W.P. Putrajaya,2021,0
